time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.3733,-0.0019,-0.0621,0.2560,-0.1298,0.1014,0.3740,
0.3750,0.0021,-0.0629,0.2560,-0.1227,0.0935,0.3724,
0.3767,0.0069,-0.0631,0.2563,-0.1147,0.0844,0.3716,
0.3783,0.0124,-0.0626,0.2570,-0.1056,0.0745,0.3716,
0.3800,0.0186,-0.0615,0.2579,-0.0957,0.0638,0.3719,
0.3817,0.0252,-0.0598,0.2593,-0.0850,0.0526,0.3723,
0.3833,0.0324,-0.0577,0.2611,-0.0737,0.0410,0.3725,
0.3850,0.0398,-0.0553,0.2632,-0.0618,0.0292,0.3721,
0.3867,0.0474,-0.0525,0.2658,-0.0494,0.0174,0.3709,
0.3883,0.0550,-0.0496,0.2688,-0.0366,0.0057,0.3683,
0.3900,0.0626,-0.0466,0.2722,-0.0236,-0.0058,0.3642,
0.3917,0.0699,-0.0436,0.2761,-0.0104,-0.0169,0.3583,
0.3933,0.0769,-0.0408,0.2802,0.0028,-0.0274,0.3502,
0.3950,0.0833,-0.0383,0.2848,0.0159,-0.0374,0.3398,
0.3967,0.0890,-0.0362,0.2896,0.0288,-0.0467,0.3269,
0.3983,0.0939,-0.0347,0.2946,0.0414,-0.0551,0.3114,
0.4000,0.0979,-0.0339,0.2998,0.0535,-0.0627,0.2933,
0.4017,0.1009,-0.0339,0.3051,0.0651,-0.0694,0.2727,
0.4033,0.1027,-0.0349,0.3104,0.0760,-0.0752,0.2497,
0.4050,0.1033,-0.0370,0.3156,0.0862,-0.0800,0.2245,
0.4067,0.1027,-0.0403,0.3206,0.0955,-0.0838,0.1973,
0.4083,0.1008,-0.0449,0.3253,0.1039,-0.0865,0.1686,
0.4100,0.0976,-0.0510,0.3297,0.1113,-0.0883,0.1385,
0.4117,0.0932,-0.0584,0.3337,0.1177,-0.0891,0.1076,
0.4133,0.0877,-0.0673,0.3371,0.1230,-0.0889,0.0763,
