time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.4817,-0.0838,-0.0424,0.2738,-0.0420,-0.0965,-0.1531,
0.4833,-0.0826,-0.0443,0.2726,-0.0392,-0.0899,-0.1732,
0.4850,-0.0814,-0.0459,0.2711,-0.0364,-0.0819,-0.1910,
0.4867,-0.0801,-0.0473,0.2691,-0.0337,-0.0728,-0.2063,
0.4883,-0.0788,-0.0483,0.2668,-0.0311,-0.0626,-0.2189,
0.4900,-0.0775,-0.0490,0.2641,-0.0287,-0.0515,-0.2286,
0.4917,-0.0764,-0.0495,0.2611,-0.0265,-0.0395,-0.2351,
0.4933,-0.0753,-0.0497,0.2577,-0.0246,-0.0268,-0.2383,
0.4950,-0.0744,-0.0497,0.2539,-0.0229,-0.0136,-0.2384,
0.4967,-0.0737,-0.0496,0.2498,-0.0215,-0.0001,-0.2352,
0.4983,-0.0732,-0.0493,0.2454,-0.0205,0.0136,-0.2288,
0.5000,-0.0729,-0.0490,0.2408,-0.0197,0.0273,-0.2196,
0.5017,-0.0728,-0.0487,0.2359,-0.0192,0.0408,-0.2076,
0.5033,-0.0730,-0.0484,0.2309,-0.0189,0.0538,-0.1932,
0.5050,-0.0733,-0.0483,0.2258,-0.0189,0.0663,-0.1766,
0.5067,-0.0739,-0.0482,0.2206,-0.0190,0.0780,-0.1584,
0.5083,-0.0746,-0.0482,0.2155,-0.0193,0.0887,-0.1389,
0.5100,-0.0754,-0.0484,0.2104,-0.0197,0.0983,-0.1185,
0.5117,-0.0764,-0.0487,0.2056,-0.0202,0.1068,-0.0977,
0.5133,-0.0775,-0.0491,0.2011,-0.0206,0.1139,-0.0769,
0.5150,-0.0786,-0.0496,0.1969,-0.0211,0.1196,-0.0565,
0.5167,-0.0798,-0.0502,0.1933,-0.0214,0.1239,-0.0370,
0.5183,-0.0809,-0.0509,0.1903,-0.0217,0.1267,-0.0186,
0.5200,-0.0819,-0.0515,0.1881,-0.0218,0.1279,-0.0016,
0.5217,-0.0829,-0.0520,0.1868,-0.0218,0.1277,0.0137,
0.5233,-0.0837,-0.0524,0.1865,-0.0217,0.1260,0.0271,
0.5250,-0.0843,-0.0526,0.1873,-0.0215,0.1230,0.0385,
0.5267,-0.0847,-0.0526,0.1893,-0.0211,0.1186,0.0479,
0.5283,-0.0848,-0.0523,0.1925,-0.0206,0.1130,0.0553,
0.5300,-0.0846,-0.0518,0.1971,-0.0201,0.1062,0.0607,
0.5317,-0.0840,-0.0508,0.2031,-0.0196,0.0983,0.0643,
0.5333,-0.0830,-0.0496,0.2104,-0.0190,0.0896,0.0663,
0.5350,-0.0815,-0.0479,0.2190,-0.0185,0.0799,0.0668,
0.5367,-0.0795,-0.0459,0.2288,-0.0181,0.0696,0.0661,
0.5383,-0.0770,-0.0436,0.2398,-0.0178,0.0586,0.0643,
0.5400,-0.0740,-0.0409,0.2517,-0.0176,0.0471,0.0618,
0.5417,-0.0704,-0.0379,0.2645,-0.0176,0.0351,0.0588,
0.5433,-0.0662,-0.0347,0.2778,-0.0178,0.0228,0.0555,
0.5450,-0.0615,-0.0313,0.2916,-0.0181,0.0103,0.0520,
0.5467,-0.0563,-0.0277,0.3054,-0.0187,-0.0024,0.0485,
0.5483,-0.0505,-0.0241,0.3192,-0.0194,-0.0152,0.0452,
0.5500,-0.0443,-0.0204,0.3325,-0.0202,-0.0279,0.0421,
0.5517,-0.0378,-0.0168,0.3451,-0.0212,-0.0405,0.0393,
0.5533,-0.0309,-0.0133,0.3569,-0.0223,-0.0528,0.0370,
0.5550,-0.0239,-0.0099,0.3675,-0.0235,-0.0649,0.0349,
0.5567,-0.0168,-0.0068,0.3767,-0.0247,-0.0765,0.0332,
0.5583,-0.0097,-0.0040,0.3844,-0.0259,-0.0876,0.0319,
0.5600,-0.0028,-0.0016,0.3905,-0.0270,-0.0981,0.0307,
